Domena;Kod;Cecha;LVL;Archetyp (Gen Z);Opis Sytuacyjny (Specifics);Zadanie (Action Item)
Neurotyczność;N1;Lęk;High;Symulator Katastrof;"Twój mózg streamuje horrory w 4K. Przed wyjściem sprawdzasz 3 razy, czy zamknąłeś drzwi. W nocy analizujesz rozmowę sprzed 2 lat (""Mogłem powiedzieć to inaczej""). Jesteś przygotowany na apokalipsę, która nigdy nie nadejdzie.";"Gdy wkręcasz sobie film, zadaj pytanie: ""Jakie są twarde dowody, że to się stanie?"". Zapisz: 0 dowodów = fałszywy alarm."
Neurotyczność;N1;Lęk;Low;Iceman;Dom płonie, a Ty spokojnie szukasz gaśnicy. Ludzie panikują przed egzaminem, a Tobie nawet nie skacze tętno. Czasem inni myślą, że jesteś nieodpowiedzialny, bo nie trzęsiesz się nad problemami.;"Ustaw przypomnienia w telefonie o rzeczach krytycznych (klucze, dokumenty), bo Twój mózg nie generuje naturalnego lęku ""że zapomnisz""."
Neurotyczność;N2;Gniew;High;Berserker;Masz krótki lont. Lagujący internet albo głupi komentarz nauczyciela potrafi zepsuć Ci humor na pół dnia. Czujesz fizyczny ból, gdy musisz milczeć, widząc niesprawiedliwość. Walczysz ostro, potem żałujesz.;"Zainstaluj apkę do medytacji (np. Headspace) albo kup worek bokserski. Musisz fizycznie ""wybić"" z siebie kortyzol."
Neurotyczność;N2;Gniew;Low;Pacyfista;"Trudno Cię wkurzyć. Kiedy ktoś na Ciebie krzyczy, zastanawiasz się: ""Ciekawe dlaczego ma zły dzień?"". Wybaczasz szybciej, niż inni zdążą przeprosić.";"Nie pozwalaj ludziom wchodzić sobie na głowę. Jeśli ktoś Cię obraża, powiedz chłodno: ""Nie podoba mi się to"". To wystarczy."
Neurotyczność;N3;Depresyjność;High;Gotyk;"Czujesz ""Weltschmerz"" (ból istnienia). Mała porażka (jedynka, kosz od dziewczyny) sprawia, że chcesz leżeć pod kołdrą przez tydzień. Widzisz świat w ciemniejszych barwach niż inni.";"Stwórz ""Apteczkę Ratunkową"": Playlista + Ulubione jedzenie + Telefon do przyjaciela. Użyj NATYCHMIAST, gdy czujesz zjazd."
Neurotyczność;N3;Depresyjność;Low;Teflon;"Smutek spływa po Tobie jak woda. Nie rozpamiętujesz porażek. ""Trudno, stało się"". Czasem nie rozumiesz, dlaczego Twoi znajomi robią dramę z błahostek.";"Kiedy ktoś płacze, nie mów ""będzie dobrze"". Usiądź i nic nie mów. To lepsze niż tanie pocieszanie."
Neurotyczność;N4;Nadświadomość;High;Reflektor;Masz wrażenie, że wszyscy na Ciebie patrzą. Boisz się jeść publicznie albo wejść spóźniony do klasy. Wstyd to Twoja dominująca emocja. Ubierasz się tak, żeby wtopić się w tło.;Wyzwanie: Wejdź do sklepu w dwóch różnych skarpetkach. Zobaczysz, że NIKT tego nie zauważy. Ludzie patrzą tylko na siebie.
Neurotyczność;N4;Nadświadomość;Low;Punk;"Masz absolutnie wywalone na opinię publiczną. Możesz wyjść w piżamie do Żabki. Taniec na środku ulicy? Czemu nie. Jesteś wolny od ""cringe'u"".";Uważaj na kontekst. To, że Tobie jest wygodnie, nie znaczy, że pasuje na pogrzebie czy rozmowie o pracę.
Neurotyczność;N5;Impulsywność;High;Dziecko Wojny;"Widzisz ciastko -> jesz ciastko. Widzisz promocję na Steam -> kupujesz. Twoja silna wola kapituluje przed dopaminą. Często rzucasz: ""Od jutra dieta/nauka"".";Nie polegaj na woli. Usuń TikToka, oddaj kartę płatniczą mamie. Zbuduj mur między sobą a pokusą.
Neurotyczność;N5;Impulsywność;Low;Mnich;Potrafisz odmówić pizzy, gdy jesteś głodny, bo masz trening. Odkładasz kasę miesiącami na konkretny cel. Jesteś odporny na reklamy i chwilowe zachcianki.;Pozwól sobie czasem na małe szaleństwo. Życie pod linijkę bywa nudne. Zaplanuj jeden dzień totalnego luzu w miesiącu.
Neurotyczność;N6;Wrażliwość;High;Glass Cannon;"W dobrych warunkach jesteś genialny, ale stres Cię kruszy. Pod presją czasu Twój mózg robi ""Blue Screen"". Płaczesz na filmach i przejmujesz się losem bezdomnych kotów.";Nigdy nie ucz się na ostatnią chwilę. Stres zablokuje Ci dostęp do wiedzy. Ucz się małymi partiami.
Neurotyczność;N6;Wrażliwość;Low;Twardziel;Kryzys to Twoje paliwo. Kiedy inni panikują, Ty wydajesz rozkazy. Nie rusza Cię widok krwi ani trudne decyzje. Emocjonalna skała.;Pamiętaj, że inni nie są tak twardzi. Nie ciśnij ich tak, jak cisniesz siebie, bo pękną.
Ekstrawersja;E1;Serdeczność;High;Labrador;Zaczepiasz ludzi w autobusie. Uśmiechasz się do kasjerki. Masz 500 znajomych i o każdym coś wiesz. Twoja otwartość jest Twoją walutą.;"Uważaj na ""wampiry energetyczne"". Nie każdy zasługuje na Twoją uwagę. Naucz się kończyć rozmowę."
Ekstrawersja;E1;Serdeczność;Low;Kot;"Ludzie myślą, że ich nie lubisz, a Ty po prostu nie widzisz sensu w ""small talku"". Otwierasz się dopiero po 3 miesiącach znajomości.";"Naucz się 3 pytań ""otwieraczy"" (np. ""W co teraz grasz?""). To ułatwi Ci życie w szkole/pracy, nawet jak nie chcesz gadać."
Ekstrawersja;E2;Towarzyskość;High;Event Manager;Piątek wieczór w domu to dla Ciebie kara. Musisz wyjść, zobaczyć ludzi, usłyszeć hałas. Cisza Cię męczy. Ładujesz baterie w tłumie.;Znajdź hobby, które robisz sam (czytanie, bieganie). Musisz umieć być sam ze sobą, żeby nie zwariować.
Ekstrawersja;E2;Towarzyskość;Low;Pustelnik;Impreza to praca. Po 2 godzinach marzysz o swoim pokoju i słuchawkach. Najlepszy weekend to ten, kiedy nikt nic od Ciebie nie chce.;Nie rezygnuj z ludzi całkowicie. Izolacja prowadzi do dziwaczenia. Wyjdź raz na tydzień, ale na swoich zasadach (krótko).
Ekstrawersja;E3;Asertywność;High;Boss;Wchodzisz do pokoju i rządzisz. Nie boisz się przejąć mikrofonu. Lubisz decydować, gdzie idziecie na pizzę. Masz naturalny posłuch.;"Sprawdź, czy nie zagłuszasz innych. Zadaj pytanie: ""A Wy co myślicie?"" i zamknij usta na 30 sekund."
Ekstrawersja;E3;Asertywność;Low;Support;"Wolisz, żeby ktoś inny wybrał film. Nie lubisz się narzucać. Często mówisz ""obojętnie"", żeby nie robić problemu. Działasz z tylnego fotela.";"Ćwicz mówienie ""NIE"" na małych rzeczach. Ktoś częstuje niesmacznym ciastkiem? Powiedz: ""Nie, dziękuję"", zamiast jeść z grzeczności."
Ekstrawersja;E4;Aktywność;High;Speedrun;"Mówisz szybko, chodzisz szybko, jesz szybko. Robisz 3 rzeczy naraz. Nienawidzisz ludzi, którzy się ""wleką"". Twoje życie to ciągły ruch.";Zwolnij przy jedzeniu i spaniu. Twój żołądek i mózg potrzebują przerwy. Inaczej wypalisz się przed 25-tką.
Ekstrawersja;E4;Aktywność;Low;Chillwagon;"Masz swoje tempo. Nie biegniesz do autobusu – będzie następny. Lubisz delektować się chwilą. ""Spokojnie, zdążymy"" to Twoje motto.";"Ustawiaj budzik 15 minut wcześniej niż musisz. Twoje ""powolne tempo"" często oznacza spóźnianie się."
Ekstrawersja;E5;Wrażenia;High;Kaskader;"Nuda to Twój wróg nr 1. Głośna muzyka, szybka jazda, ostre żarcie. Musisz ""czuć"", że żyjesz. Ryzyko Cię kręci.";Zanim zrobisz tatuaż na twarzy, odczekaj tydzień. Twoja potrzeba nowości często wyłącza zdrowy rozsądek.
Ekstrawersja;E5;Wrażenia;Low;Domator;Lubisz przewidywalność. Ten sam ulubiony kubek, ta sama trasa do szkoły. Nie potrzebujesz skakać na bungee, żeby być szczęśliwym.;Spróbuj raz w miesiącu nowej potrawy albo nowej gry. Rozciągaj lekko strefę komfortu, żeby nie zardzewieć.
Ekstrawersja;E6;Radość;High;Hype Man;Cieszysz się jak dziecko z małych rzeczy. Twoim śmiechem można kruszyć mury. Zarażasz entuzjazmem.;Pamiętaj, że inni mogą mieć gorszy dzień. Twój huraoptymizm może irytować kogoś w depresji.
Ekstrawersja;E6;Radość;Low;Poker Face;"Rzadko się uśmiechasz. Nawet jak wygrasz w lotto, powiesz tylko ""fajnie"". Jesteś poważny i stonowany.";"Komunikuj werbalnie: ""Cieszę się"". Twoja twarz tego nie pokazuje, więc musisz to powiedzieć, żeby ludzie wiedzieli."
Otwartość;O1;Wyobraźnia;High;Dreamer;Odpływasz w trakcie lekcji w swoje światy fantasy. Masz 10 pomysłów na książkę. Rzeczywistość jest dla Ciebie za nudna.;Miej przy sobie notes. Twoje pomysły są genialne, ale znikają po 5 minutach. Zapisuj wszystko.
Otwartość;O1;Wyobraźnia;Low;Operator;Skupiasz się na tym, co jest. Instrukcja obsługi to świętość. Nie wymyślasz koła na nowo, tylko nim jedziesz. Konkret.;"Kiedy masz problem, spróbuj metody ""Burza Mózgów"" – wypisz 10 najgłupszych rozwiązań. Jedno z nich może być genialne."
Otwartość;O2;Estetyka;High;Artysta;Zauważasz nowy font w menu restauracji. Brzydkie slajdy na lekcji fizycznie Cię bolą. Muzyka wywołuje u Ciebie gęsią skórkę.;Rozwijaj umiejętności graficzne/video. Twój zmysł estetyczny to konkretny skill rynkowy, a nie tylko wrażliwość.
Otwartość;O2;Estetyka;Low;Inżynier;Liczy się funkcja, nie forma. Buty mają być wygodne, nie ładne. Nie rozumiesz, czym się zachwycają ludzie w muzeach.;Zaufaj komuś, kto ma gust. Jeśli robisz prezentację, użyj gotowego szablonu, zamiast dobierać kolory samemu (zrobisz to źle).
Otwartość;O3;Uczuciowość;High;Poeta;"Czujesz emocje x10. Płaczesz na reklamach karmy dla psów. Rozumiesz ""vibe"" w pokoju momentalnie.";Nie podejmuj decyzji w silnych emocjach (zarówno euforia jak i dół). Prześpij się z tematem.
Otwartość;O3;Uczuciowość;Low;Analityk;"Emocje to tylko chemia. Nie rozumiesz, czemu ludzie ""robią dramę"". Patrzysz na fakty. Jesteś oparciem w histerii.";"Pytaj ludzi: ""Jak się z tym czujesz?"". Dla nich to ważne, nawet jeśli dla Ciebie to nielogiczne."
Otwartość;O4;Przygoda;High;Odkrywca;Zawsze zamawiasz to dziwne danie z menu. Zmieniasz hobby co miesiąc. Rutyna Cię zabija.;"Dokończ jeden projekt, zanim zaczniesz trzy kolejne. Masz tendencję do ""Słomianego Zapału""."
Otwartość;O4;Przygoda;Low;Tradycja;Lubisz wiedzieć, co będzie na obiad. Wakacje w tym samym miejscu są super, bo wiesz, gdzie jest dobra pizza.;Zgódź się raz na jakiś czas na pomysł szalonego kolegi. Niech on prowadzi. Zobaczysz coś nowego bez stresu planowania.
Otwartość;O5;Intelekt;High;Nerd;"Czytasz wikipedię dla przyjemności. Lubisz rozkminiać paradoksy czasowe i sens życia. ""Dlaczego?"" to Twoje ulubione słowo.";"Nie bądź mądralski (""Ackchyually...""). Ludzie nie lubią, jak się ich ciągle poprawia. Wiedza to narzędzie, nie broń."
Otwartość;O5;Intelekt;Low;Praktyk;"Interesuje Cię to, co użyteczne. Po co uczyć się o gwiazdach, skoro nie będziesz kosmonautą? Wolisz ""doing"" niż ""thinking"".";Czytaj streszczenia książek (Blinkist/YouTube). Nie musisz być filozofem, ale warto znać podstawowe trendy.
Otwartość;O6;Wartości;High;Rewolucjonista;"Podważasz zasady. ""Bo tak wypada"" to dla Ciebie żaden argument. Jesteś otwarty na każdą inność.";Pamiętaj, że niektóre zasady (np. kodeks drogowy) istnieją z ważnego powodu. Nie buntuj się dla samego buntu.
Otwartość;O6;Wartości;Low;Konserwa;Szanujesz autorytety i tradycję. Wierzesz, że stare metody są sprawdzone. Jesteś fundamentem społeczności.;Świat się zmienia. Bądź otwarty na to, że ktoś może żyć inaczej niż Ty i to też jest OK.
Ugodowość;A1;Zaufanie;High;Naiwniak?;"Pożyczasz kasę i wierzysz, że oddadzą ""jutro"". Nie sprawdzasz ludzi. Ufasz domyślnie.";"Zasada: ""Ufam, ale sprawdzam"". W sprawach pieniędzy i haseł – zero zaufania, 100% procedur."
Ugodowość;A1;Zaufanie;Low;Detektyw;"Wszędzie wietrzysz podstęp. ""Czego on ode mnie chce?"" to Twoja pierwsza myśl. Trudno Cię oszukać.";Daj ludziom mały kredyt zaufania na start. Ciągła podejrzliwość niszczy relacje.
Ugodowość;A2;Moralność;High;Harcerz;Nigdy nie ściągasz na sprawdzianie, nawet jak nauczyciel wyszedł. Kłamstwo fizycznie Ci nie przechodzi przez gardło.;"Nie bądź ""donosicielem"". To, że Ty jesteś święty, nie znaczy, że musisz być policjantem dla innych."
Ugodowość;A2;Moralność;Low;Kombinator;"Zasady są po to, żeby je naginać. Umiesz ""zakręcić"", żeby wyjść na swoje. Spryt to Twoja supermoc.";Używaj swoich zdolności do negocjacji win-win, a nie do oszustw. Granica jest cienka.
Ugodowość;A3;Altruizm;High;Samarytanin;Rzucasz wszystko, żeby pomóc koledze w projekcie, a swój robisz po nocach. Nie umiesz przejść obojętnie.;Naucz się asertywności. Jeśli nie zadbasz o siebie, nie będziesz miał siły pomagać innym.
Ugodowość;A3;Altruizm;Low;Egoista?;Najpierw Twoja maska tlenowa. Nie tracisz czasu na problemy innych, jeśli nie masz w tym interesu.;"Zrób czasem coś bezinteresownie. To buduje ""kapitał społeczny"" – kiedyś Ty będziesz potrzebował pomocy."
Ugodowość;A4;Ustępliwość;High;Mediator;"""Zgoda buduje"". Ustąpisz, żeby nie było kwasu. Godzisz się na film, którego nie chcesz oglądać.";Pamiętaj: Brak konfliktu to nie to samo co dobra relacja. Wyrażaj swoje zdanie, nawet jak jest inne.
Ugodowość;A4;Ustępliwość;Low;Wojownik;Lubisz debatę. Konflikt Cię nie przeraża, a wręcz nakręca. Walczysz o swoje do upadłego.;Wybieraj bitwy. Nie warto kłócić się o wszystko. Czasem lepiej mieć spokój niż rację.
Ugodowość;A5;Skromność;High;Cień;Robisz świetną robotę, ale siedzisz cicho. Jak ktoś Cię chwali, czerwienisz się i zaprzeczasz.;"Mów proste ""Dziękuję"". Nie umniejszaj sobie. Jeśli coś zrobiłeś dobrze, zasługujesz na credit."
Ugodowość;A5;Skromność;Low;Celebryta;Lubisz błyszczeć. Wiesz, że jesteś dobry i głośno o tym mówisz. Umiesz się sprzedać.;Uważaj na arogancję. Chwal też innych, to sprawi, że będą chętniej Cię słuchać.
Ugodowość;A6;Wrażliwość;High;Softie;Nie zabijesz pająka. Płaczesz nad losem bezdomnych psów. Decyzje podejmujesz sercem.;W trudnych decyzjach (np. zerwanie toksycznej relacji) poproś o radę kogoś z niskim wynikiem A6. Potrzebujesz chłodnego spojrzenia.
Ugodowość;A6;Wrażliwość;Low;Logik;"""Takie jest życie"". Nie roztkliwiasz się. Jesteś twardy i konkretny. Ludzie przychodzą do Ciebie po prawdę, nie po pocieszenie.";"Czasem ludzie potrzebują tylko przytulenia, a nie wykładu. Powstrzymaj się od ""a nie mówiłem""."
Sumienność;C1;Kompetencja;High;Szef;Wiesz, że dasz radę. Bierzesz zadanie i je robisz. Czujesz sprawczość.;Nie bierz na siebie za dużo. Twoja pewność siebie może wpędzić Cię w burnout.
Sumienność;C1;Kompetencja;Low;Debiutant;"""Nie dam rady"", ""To za trudne"". Często rezygnujesz przed startem. Boisz się porażki.";"Zbieraj ""Teczki Sukcesów"". Zapisuj każdy mały win. Twój mózg kłamie, że jesteś słaby."
Sumienność;C2;Porządek;High;Perfekcjonista;Twoje notatki są kolorowe i równe. Bałagan w pokoju nie pozwala Ci się skupić. Wszystko ma swoje miejsce.;Nie trać czasu na układanie ołówków. Zrób bałagan i zobacz, że świat się nie zawali. Liczy się efekt, nie sterylność.
Sumienność;C2;Porządek;Low;Chaos;Skarpetka na lampie, biurko zasypane. Ale Ty wiesz, gdzie co jest. Chaos to Twój system operacyjny.;"Miej jedno ""Święte Miejsce"" (np. pulpit komputera), gdzie jest idealny porządek. To pomoże Ci w pracy."
Sumienność;C3;Obowiązkowość;High;Żołnierz;Jak obiecałeś, to zrobisz, choćbyś miał nie spać. Jesteś zabójczo słowny. Zasady są święte.;Czasem trzeba odpuścić. Jeśli zasada jest głupia, nie giń za nią. Bądź elastyczny.
Sumienność;C3;Obowiązkowość;Low;Wolny Duch;"""Zapomniałem"". Terminy są dla Ciebie umowne. Nie lubisz, jak ktoś Ci coś narzuca.";Używaj kalendarza Google z powiadomieniami. Twoja pamięć Cię zawodzi, technologia nie.
Sumienność;C4;Ambicja;High;Hustler;"Musisz być najlepszy. Średnia 4.0 to porażka. Ciągle podnosisz poprzeczkę. ""Grindset"".";Odpocznij. Życie to maraton, nie sprint. Znajdź hobby, w którym NIE musisz być najlepszy (po prostu dla funu).
Sumienność;C4;Ambicja;Low;Chill;"""Trójka wystarczy"". Nie bierzesz udziału w wyścigu szczurów. Cenisz święty spokój.";Znajdź jedną rzecz, która Cię jara i tam daj z siebie 100%. W reszcie możesz być przeciętny.
Sumienność;C5;Samodyscyplina;High;Cyborg;Wstajesz o 6:00 biegać, bo tak zaplanowałeś. Nie potrzebujesz motywacji, masz dyscyplinę. Robisz robotę nawet jak Ci się nie chce.;Nie bądź dla siebie tyranem. Jeśli jesteś chory, odpuść trening. Masz prawo do gorszego dnia.
Sumienność;C5;Samodyscyplina;Low;Prokrastynator;"""Zrobię to jutro"". Mistrz wymówek. Czekasz na ""wenę"", która rzadko przychodzi. Pracujesz tylko pod pistoletem (deadline).";Metoda Pomodoro (25 min pracy / 5 min przerwy). Nie planuj wielkich bloków pracy, bo nie zaczniesz.
Sumienność;C6;Rozwaga;High;Strateg;"Myślisz 10 razy zanim coś powiesz. Analizujesz każde ""za"" i ""przeciw"". Unikasz błędów.";"Nie utknij w ""Paraliżu Analitycznym"". Czasem trzeba podjąć decyzję przy 70% pewności. Działaj."
Sumienność;C6;Rozwaga;Low;Błyskawica;"Najpierw robisz, potem myślisz. ""Oops"". Uczysz się na błędach (często bolesnych). Szybkość > Precyzja.";"Zanim klikniesz ""Wyślij"" lub ""Kup"", policz do dziesięciu. Ta prosta pauza uratuje Ci skórę."
